NOMDIS,C,50;NOMBRE,C,50;COD_DIS,C,3;COD_DIS_TX,C,2;BARRIO_MAY,C,250;COD_DISBAR,C,3;COD_BAR,C,3;NUM_BAR,C,1;BARRIO_MT,C,250;COD_DISB,C,4;Area_m2,N,19,11
Villaverde;San Cristóbal;17;17;SAN CRISTOBAL;172;172;2;SAN CRISTOBAL;17-2;1082492.47218
Villaverde;Butarque;17;17;BUTARQUE;173;173;3;BUTARQUE;17-3;6375521.77631
Villaverde;Los Ángeles;17;17;LOS ANGELES;175;175;5;LOS ÁNGELES;17-5;1935271.49008
Villaverde;Los Rosales;17;17;LOS ROSALES;174;174;4;LOS ROSALES;17-4;1540746.76095
Villaverde;Villaverde Alto, Casco Histórico de Villaverde;17;17;VILLAVERDE ALTO, CASCO HISTORICO DE VILLAVERDE;171;171;1;VILLAVERDE ALTO, CASCO HISTÓRICO DE VILLAVERDE;17-1;9253553.84107
Usera;Orcasitas;12;12;ORCASITAS;121;121;1;ORCASITAS;12-1;1356362.7318
Villa de Vallecas;Ensanche de Vallecas;18;18;ENSANCHE DE VALLECAS;183;183;3;ENSANCHE DE VALLECAS;18-3;6341118.96189
Carabanchel;Buenavista;11;11;BUENAVISTA;116;116;6;BUENAVISTA;11-6;5613180.40224
Latina;Cuatro Vientos;10;10;CUATRO VIENTOS;106;106;6;CUATRO VIENTOS;10-6;5430118.61157
Usera;San Fermín;12;12;SAN FERMIN;123;123;3;SAN FERMÍN;12-3;1475399.06408
Villa de Vallecas;Casco Histórico de Vallecas;18;18;CASCO HISTORICO DE VALLECAS;181;181;1;CASCO HISTÓRICO DE VALLECAS;18-1;43045886.111
Usera;Orcasur;12;12;ORCASUR;122;122;2;ORCASUR;12-2;1387349.57518
Usera;Zofío;12;12;ZOFIO;126;126;6;ZOFÍO;12-6;774025.536561
Usera;Pradolongo;12;12;PRADOLONGO;127;127;7;PRADOLONGO;12-7;1095651.85364
Carabanchel;Abrantes;11;11;ABRANTES;117;117;7;ABRANTES;11-7;1564570.60899
Carabanchel;Puerta Bonita;11;11;PUERTA BONITA;115;115;5;PUERTA BONITA;11-5;1608625.38732
Usera;Almendrales;12;12;ALMENDRALES;124;124;4;ALMENDRALES;12-4;780140.88006
